,SIN,URL,PRICE
0,B0088A8GW8,https://www.amazon.com/gp/offer-listing/B0088A8GW8/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$120.60
1,B0088A8H54,https://www.amazon.com/gp/offer-listing/B0088A8H54/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$137.07
2,B0088A8HBI,https://www.amazon.com/gp/offer-listing/B0088A8HBI/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$175.94
3,B0088A8HJ0,https://www.amazon.com/gp/offer-listing/B0088A8HJ0/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$267.67
4,B004SKCJ0C,https://www.amazon.com/gp/offer-listing/B004SKCJ0C/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$239.08
5,B0088A8I1W,https://www.amazon.com/gp/offer-listing/B0088A8I1W/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$377.86
6,B0088A8IAI,https://www.amazon.com/gp/offer-listing/B0088A8IAI/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$394.16
7,B0088A8IVC,https://www.amazon.com/gp/offer-listing/B0088A8IVC/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$503.70
8,B0088A8J1Q,https://www.amazon.com/gp/offer-listing/B0088A8J1Q/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$572.15
9,B004SKCI80,https://www.amazon.com/gp/offer-listing/B004SKCI80/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$870.26
10,B009PJGGFA,https://www.amazon.com/gp/offer-listing/B009PJGGFA/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,"$1,000.45"
11,B0088A8JIY,https://www.amazon.com/gp/offer-listing/B0088A8JIY/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,"$1,192.78"
12,B004SKCJLQ,https://www.amazon.com/gp/offer-listing/B004SKCJLQ/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$59.78
13,B0088A8K9C,https://www.amazon.com/gp/offer-listing/B0088A8K9C/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$81.78
14,B0088A8KG0,https://www.amazon.com/gp/offer-listing/B0088A8KG0/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$110.01
15,B0088A8KJW,https://www.amazon.com/gp/offer-listing/B0088A8KJW/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$142.95
16,B004SKCJOS,https://www.amazon.com/gp/offer-listing/B004SKCJOS/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$175.94
17,B004SKCJNO,https://www.amazon.com/gp/offer-listing/B004SKCJNO/ref=olp_f_freeShipping?ie=UTF8&f_new=true&f_freeShipping=true,$204.18
