Type,Price,Location,Bath,Size,Bedrooms
House,PKR2.5 Crore,"Nazimabad, Karachi, Sindh",-,5.3 Marla,-
House,PKR6 Crore,"Nazimabad, Karachi, Sindh",8,16.9 Marla,6
House,PKR90 Lakh,"Nazimabad, Karachi, Sindh",3,2.7 Marla,3
House,PKR6 Crore,"Nazimabad, Karachi, Sindh",4,17.9 Marla,3
House,PKR11 Crore,"Nazimabad, Karachi, Sindh",10,1.7 Kanal,10
House,PKR3 Crore,"Nazimabad, Karachi, Sindh",4,8.6 Marla,10
House,PKR1.9 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR7.75 Crore,"Nazimabad, Karachi, Sindh",6,16.9 Marla,6
House,PKR1.5 Crore,"Nazimabad, Karachi, Sindh",-,5.3 Marla,-
House,PKR1.9 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR5.65 Crore,"Nazimabad, Karachi, Sindh",7,16.9 Marla,7
House,PKR6.25 Crore,"Nazimabad, Karachi, Sindh",10,18 Marla,8
House,PKR6 Crore,"Nazimabad, Karachi, Sindh",8,19.2 Marla,8
House,PKR4.25 Crore,"Nazimabad, Karachi, Sindh",4,9.6 Marla,4
House,PKR6 Crore,"Nazimabad, Karachi, Sindh",5,1.2 Kanal,5
House,PKR6 Crore,"Nazimabad, Karachi, Sindh",5,16.9 Marla,5
House,PKR3.75 Crore,"Nazimabad, Karachi, Sindh",6,8.6 Marla,9
House,PKR1.9 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR1.9 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR5.5 Crore,"Nazimabad, Karachi, Sindh",8,16.8 Marla,7
House,PKR4.75 Crore,"Nazimabad, Karachi, Sindh",3,16.9 Marla,3
House,PKR5 Crore,"Nazimabad, Karachi, Sindh",3,2 Kanal,3
House,PKR4.75 Crore,"Nazimabad, Karachi, Sindh",3,16.9 Marla,3
House,PKR1.9 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR3 Crore,"Nazimabad, Karachi, Sindh",3,5.3 Marla,3
House,PKR3 Crore,"Nazimabad, Karachi, Sindh",3,5.3 Marla,3
House,PKR1.9 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR4.75 Crore,"Nazimabad, Karachi, Sindh",3,16.9 Marla,3
House,PKR1.7 Crore,"Nazimabad, Karachi, Sindh",8,5.3 Marla,7
House,PKR2.6 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR12.5 Crore,"Nazimabad, Karachi, Sindh",6,16.9 Marla,6
House,PKR2.6 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR3.25 Crore,"Nazimabad, Karachi, Sindh",8,8.6 Marla,7
House,PKR2.6 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR2.6 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR12.5 Crore,"Nazimabad, Karachi, Sindh",6,16.9 Marla,6
House,PKR2.6 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,6
House,PKR1.75 Crore,"Nazimabad, Karachi, Sindh",-,8 Marla,-
House,PKR1.75 Crore,"Nazimabad, Karachi, Sindh",-,8 Marla,-
House,PKR1.75 Crore,"Nazimabad, Karachi, Sindh",-,8 Marla,-
House,PKR6.6 Crore,"Nazimabad, Karachi, Sindh",-,19.3 Marla,5
House,PKR4 Crore,"Nazimabad, Karachi, Sindh",4,9.3 Marla,4
House,PKR2.9 Crore,"Nazimabad, Karachi, Sindh",8,5.3 Marla,8
House,PKR10 Crore,"Nazimabad, Karachi, Sindh",-,18.9 Marla,-
House,PKR1.7 Crore,"Nazimabad, Karachi, Sindh",8,5.3 Marla,7
House,PKR11 Crore,"Nazimabad, Karachi, Sindh",8,1.7 Kanal,7
House,PKR3.1 Crore,"Nazimabad, Karachi, Sindh",6,8.6 Marla,6
House,PKR3.8 Crore,"Nazimabad, Karachi, Sindh",6,8.6 Marla,6
House,PKR2 Crore,"Nazimabad, Karachi, Sindh",4,5.3 Marla,8
House,PKR2.7 Crore,"Nazimabad, Karachi, Sindh",6,8.6 Marla,6
House,PKR2.1 Crore,"Nazimabad, Karachi, Sindh",3,5.3 Marla,6
House,PKR5 Crore,"Nazimabad, Karachi, Sindh",7,12 Marla,6
House,PKR76 Lakh,"Nazimabad, Karachi, Sindh",-,2.4 Marla,-
House,PKR3.8 Crore,"Nazimabad, Karachi, Sindh",7,8.6 Marla,11
House,PKR1.4 Crore,"Nazimabad, Karachi, Sindh",6,5.3 Marla,11
House,PKR4.3 Crore,"Nazimabad, Karachi, Sindh",4,8.6 Marla,6
House,PKR5.8 Crore,"Nazimabad, Karachi, Sindh",10,1.2 Kanal,11
House,PKR6 Crore,"Nazimabad, Karachi, Sindh",6,14.3 Marla,9
House,PKR6 Crore,"Nazimabad, Karachi, Sindh",8,17.2 Marla,11
House,PKR1.7 Crore,"Nazimabad, Karachi, Sindh",2,5.3 Marla,7
House,PKR2.6 Crore,"Nazimabad, Karachi, Sindh",2,5.3 Marla,3
House,PKR4 Crore,"Nazimabad, Karachi, Sindh",-,12.8 Marla,-
House,PKR4.5 Crore,"Nazimabad, Karachi, Sindh",4,12.1 Marla,6
House,PKR3.6 Crore,"Nazimabad, Karachi, Sindh",6,10.4 Marla,6
House,PKR5.95 Crore,"Nazimabad, Karachi, Sindh",5,1.2 Kanal,6
House,PKR6 Crore,"Nazimabad, Karachi, Sindh",9,1.2 Kanal,10
House,PKR3.55 Crore,"Nazimabad, Karachi, Sindh",6,8.8 Marla,8
House,PKR1.7 Crore,"Nazimabad, Karachi, Sindh",2,5.3 Marla,3
House,PKR2.6 Crore,"Nazimabad, Karachi, Sindh",4,5.3 Marla,6
House,PKR6 Crore,"Nazimabad, Karachi, Sindh",6,17.2 Marla,11
House,PKR4.5 Crore,"Nazimabad, Karachi, Sindh",8,8.6 Marla,8
House,PKR4.6 Crore,"Nazimabad, Karachi, Sindh",-,9.6 Marla,8
House,PKR2.9 Crore,"Nazimabad, Karachi, Sindh",3,8.6 Marla,2
House,PKR1 Crore,"Nazimabad, Karachi, Sindh",3,4.8 Marla,3
House,PKR32.5 Lakh,"Nazimabad, Karachi, Sindh",-,1.7 Marla,-
House,PKR7 Crore,"Nazimabad, Karachi, Sindh",8,17.1 Marla,8
House,PKR87 Lakh,"Nazimabad, Karachi, Sindh",7,2.4 Marla,11
House,PKR80 Lakh,"Nazimabad, Karachi, Sindh",2,4.8 Marla,5
House,PKR2.7 Crore,"Nazimabad, Karachi, Sindh",5,8.6 Marla,9
House,PKR4.43 Crore,"Nazimabad, Karachi, Sindh",-,10.5 Marla,10
House,PKR1.5 Crore,"Nazimabad, Karachi, Sindh",3,5.2 Marla,4
House,PKR3.5 Crore,"Nazimabad, Karachi, Sindh",5,6.9 Marla,6
