ID,URL
1,https://www.zameen.com/Property/nazimabad_nazimabad_block_3_a_beautifully_built_house_at_good_location-22119357-7080-1.html
2,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_bungalow_is_available_for_sale-21938059-7081-1.html
3,https://www.zameen.com/Property/karachi_nazimabad_house_is_available_for_sale-21721797-278-1.html
4,https://www.zameen.com/Property/nazimabad_nazimabad_block_2_house_is_available_for_sale-15508563-7079-1.html
5,https://www.zameen.com/Property/karachi_nazimabad_ground_2_bungalow_for_sale__in_nazimabad_no_4_most_prime_location-16621471-278-1.html
6,https://www.zameen.com/Property/karachi_nazimabad_nazimabad_2_no_2g_house_for_sale-21773965-278-1.html
7,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_g_1_house_available_for_sale-22370410-7081-1.html
8,https://www.zameen.com/Property/nazimabad_nazimabad_block_1_a_house_is_available_for_sale-20876687-7078-1.html
9,https://www.zameen.com/Property/nazimabad_nazimabad_block_3_g_1_house_available_for_sale-22335035-7080-1.html
10,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_ground_plus_2_corner_house_is_available_for_sale-21966159-7081-1.html
11,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_ground_plus_2_corner_house_is_available_for_sale-21966159-7081-1.html
12,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_bungalow_is_available_for_sale-21797079-7081-1.html
13,https://www.zameen.com/Property/nazimabad_rizvia_coop_housing_society_bungalow_for_sale_-21693728-7099-1.html
14,https://www.zameen.com/Property/karachi_nazimabad_banglow_for_sale-21447287-278-1.html
15,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_g_1_house_available_for_sale-22370410-7081-1.html
16,https://www.zameen.com/Property/nazimabad_nazimabad_block_1_a_house_is_available_for_sale-20876687-7078-1.html
17,https://www.zameen.com/Property/nazimabad_nazimabad_block_3_g_1_house_available_for_sale-22335035-7080-1.html
18,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_bungalow_is_available_for_sale-22149958-7081-1.html
19,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_ground_plus_2_corner_house_is_available_for_sale-21966159-7081-1.html
20,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_bungalow_is_available_for_sale-21797079-7081-1.html
21,https://www.zameen.com/Property/nazimabad_rizvia_coop_housing_society_bungalow_for_sale_-21693728-7099-1.html
22,https://www.zameen.com/Property/karachi_nazimabad_banglow_for_sale-21447287-278-1.html
23,https://www.zameen.com/Property/karachi_nazimabad_house_is_available_for_sale_in_nazimabad_no_4-21447207-278-1.html
24,https://www.zameen.com/Property/karachi_nazimabad_house_is_available_for_sale-20979713-278-1.html
25,https://www.zameen.com/Property/nazimabad_nazimabad_block_3_g_2_house_available_for_sale-22335038-7080-1.html
26,https://www.zameen.com/Property/nazimabad_nazimabad_block_3_g_1_house_available_for_sale-22335033-7080-1.html
27,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_old_constructed__g_1_house_available_for_sale-22334714-7081-1.html
28,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_old_constructed__single_storey_house_is_available_for_sale-22334707-7081-1.html
29,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_old_constructed_g_1_house_available_for_sale-22334699-7081-1.html
30,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_single_storey_old_constructed_house_available_for_sale-22334697-7081-1.html
31,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_g_1_house_available_for_sale-22334693-7081-1.html
32,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_g_1_house_available_for_sale-22334691-7081-1.html
33,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_g_1_house_available_for_sale-22334685-7081-1.html
34,https://www.zameen.com/Property/nazimabad_nazimabad_block_5_west_open_g_3_house_available_for_sale-22334683-7082-1.html
35,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_bungalow_is_available_for_sale-21938059-7081-1.html
36,https://www.zameen.com/Property/karachi_nazimabad_house_is_available_for_sale-21721797-278-1.html
37,https://www.zameen.com/Property/nazimabad_nazimabad_block_3_demolish_condition_house_available_for_sale_on_main_road-22323089-7080-1.html
38,https://www.zameen.com/Property/nazimabad_nazimabad_block_1_g_1_well_maintained_house_available_for_sale-22323083-7078-1.html
39,https://www.zameen.com/Property/nazimabad_nazimabad_block_3_house_is_available_for_sale-22147216-7080-1.html
40,https://www.zameen.com/Property/nazimabad_nazimabad_block_1_g_1_house_available_for_sale-22070356-7078-1.html
41,https://www.zameen.com/Property/nazimabad_nazimabad_block_1_g_1_house_available_for_sale-22070322-7078-1.html
42,https://www.zameen.com/Property/nazimabad_nazimabad_block_4_g_1_house_available_for_sale-22121578-7081-1.html
43,https://www.zameen.com/Property/nazimabad_nazimabad_block_3_house_is_available_for_sale-22147216-7080-1.html
44,https://www.zameen.com/Property/nazimabad_nazimabad_block_1_g_1_house_available_for_sale-22070356-7078-1.html
45,https://www.zameen.com/Property/nazimabad_nazimabad_block_1_g_1_house_available_for_sale-22070322-7078-1.html
46,https://www.zameen.com/Property/nazimabad_nazimabad_block_3_main_road_house_available_for_sale-22070330-7080-1.html
47,https://www.zameen.com/Property/nazimabad_nazimabad_block_1_g_1_house_available_for_sale-22200222-7078-1.html
48,https://www.zameen.com/Property/karachi_nazimabad_well_built_house_available_at_good_location-22196405-278-1.html
49,https://www.zameen.com/Property/karachi_nazimabad_here_is_a_good_opportunity_to_live_in_a_well_built_house-22196397-278-1.html
50,https://www.zameen.com/Property/karachi_nazimabad_the_best_house_for_living_purpose-22196389-278-1.html
